Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
1,0,Left,tensor(20.5182),No
1,1,Right,tensor(5.9977),Yes
2,0,Left,tensor(19.8181),No
2,1,Right,tensor(5.5559),Yes
3,1,Right,tensor(8.1544),No
3,0,Left,tensor(22.1471),No
4,1,Right,tensor(6.2144),No
4,0,Left,tensor(21.1086),No
5,1,Right,tensor(6.0829),No
5,0,Left,tensor(20.6300),No
6,1,Right,tensor(5.1928),Yes
6,0,Left,tensor(23.0664),Yes
7,2,Right,tensor(86.7308),No
7,0,Left,tensor(20.4380),Yes
7,1,Right,tensor(6.6092),Yes
8,2,Right,tensor(86.5251),No
8,0,Left,tensor(21.3215),Yes
8,1,Right,tensor(5.5059),Yes
9,2,Right,tensor(86.6521),No
9,0,Left,tensor(21.1319),Yes
9,1,Right,tensor(5.3620),Yes
10,2,Right,tensor(89.0392),No
10,0,Left,tensor(23.4138),Yes
10,1,Right,tensor(4.7626),Yes
11,2,Right,tensor(84.5656),No
11,0,Left,tensor(22.4916),Yes
11,1,Right,tensor(3.5362),Yes
12,2,Right,tensor(87.2837),No
12,0,Left,tensor(24.0160),Yes
12,1,Right,tensor(5.7249),Yes
13,2,Right,tensor(87.3926),No
13,0,Left,tensor(23.5746),Yes
13,1,Right,tensor(5.1857),Yes
14,2,Right,tensor(74.0229),No
14,0,Left,tensor(24.2180),Yes
14,1,Right,tensor(4.5379),Yes
15,2,Right,tensor(75.7064),No
15,0,Left,tensor(25.4848),Yes
15,1,Right,tensor(6.4149),Yes
16,2,Right,tensor(70.2032),No
16,0,Left,tensor(24.0680),Yes
16,1,Right,tensor(1.7499),Yes
17,2,Right,tensor(70.2333),No
17,0,Left,tensor(23.7568),Yes
17,1,Right,tensor(5.3377),Yes
18,2,Right,tensor(69.8620),No
18,0,Left,tensor(25.2474),Yes
18,1,Right,tensor(2.3367),Yes
19,2,Right,tensor(66.5015),No
19,0,Left,tensor(23.4432),Yes
19,1,Right,tensor(3.4671),Yes
20,2,Right,tensor(67.8942),No
20,0,Left,tensor(27.1604),Yes
20,1,Right,tensor(5.7524),Yes
21,2,Right,tensor(63.9473),No
21,0,Left,tensor(27.0955),Yes
21,1,Right,tensor(2.9870),Yes
22,2,Right,tensor(62.1575),No
22,0,Left,tensor(27.0814),Yes
22,1,Right,tensor(4.2490),Yes
23,2,Right,tensor(61.4625),No
23,0,Left,tensor(27.9514),Yes
23,1,Right,tensor(4.6348),Yes
24,2,Right,tensor(58.1761),No
24,0,Left,tensor(26.8959),Yes
24,1,Right,tensor(3.8150),Yes
